licitacao_id,municipio,ano,objeto,valor_contrato,modalidade,empresa_vencedora,cnpj_vencedora,socio_principal,endereco_empresa,numero_participantes,status
LIC-01115,Município 87,2021,Manutenção predial,226133.14,Pregão,Empresa Rio Construções,25.670.464/0001-44,Sócio 30,"Rua 30, 412",8,Concluído
LIC-01116,Município 87,2020,Aquisição de equipamentos,104409.02,Pregão,Empresa Norte Serviços,24.190.275/0001-25,Sócio 9,"Rua 9, 62",3,Em execução
LIC-01117,Município 87,2020,Reforma de UBS,272728.36,Pregão,Empresa Rio Engenharia,87.978.140/0001-71,Sócio 29,"Rua 29, 12",6,Em execução
LIC-01118,Município 87,2021,Pavimentação de via,267191.76,Tomada de Preços,Empresa Norte Serviços,31.474.506/0001-24,Sócio 5,"Rua 5, 60",7,Atrasado
LIC-01119,Município 87,2023,Serviços de consultoria,165823.89,Concorrência,Empresa Norte Serviços,31.474.506/0001-24,Sócio 5,"Rua 5, 60",7,Concluído
LIC-01120,Município 87,2020,Manutenção predial,170361.96,Concorrência,Empresa Mar Engenharia,38.329.904/0001-66,Sócio 20,"Rua 20, 228",7,Concluído
LIC-01121,Município 87,2020,Limpeza urbana,138422.31,Dispensa,Empresa Sul Serviços,92.344.537/0001-98,Sócio 12,"Rua 12, 9",5,Em execução
LIC-01122,Município 87,2022,Material didático,166472.63,Concorrência,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",5,Em execução
LIC-01123,Município 87,2020,Serviços de consultoria,228542.42,Tomada de Preços,Empresa Rio Serviços,88.129.401/0001-61,Sócio 10,"Rua 10, 138",4,Concluído
LIC-01124,Município 87,2020,Manutenção predial,289290.59,Tomada de Preços,Empresa Mar Engenharia,38.329.904/0001-66,Sócio 20,"Rua 20, 228",6,Em execução
LIC-01125,Município 87,2021,Reforma de UBS,177499.07,Tomada de Preços,Empresa Sol Soluções,17.380.177/0001-62,Sócio 16,"Rua 16, 150",6,Em execução
LIC-01126,Município 87,2022,Manutenção predial,212588.18,Pregão,Empresa Norte Construções,12.819.190/0001-68,Sócio 14,"Rua 14, 191",5,Em execução
LIC-01127,Município 87,2023,Pavimentação de via,200976.35,Concorrência,Empresa Mar Soluções,51.161.687/0001-86,Sócio 4,"Rua 4, 419",8,Em execução
LIC-01128,Município 87,2022,Reforma de UBS,157254.09,Dispensa,Empresa Sul Engenharia,38.805.699/0001-80,Sócio 19,"Rua 19, 162",8,Atrasado
LIC-01129,Município 88,2023,Fornecimento de merenda,107321.04,Pregão,Empresa Rio Engenharia,87.978.140/0001-71,Sócio 29,"Rua 29, 12",3,Em execução
LIC-01130,Município 88,2021,Limpeza urbana,242036.87,Pregão,Empresa Sul Serviços,37.806.450/0001-81,Sócio 25,"Rua 25, 298",4,Atrasado
LIC-01131,Município 88,2020,Construção de escola,241566.64,Pregão,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",8,Em execução
LIC-01132,Município 88,2023,Limpeza urbana,78329.18,Pregão,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",5,Atrasado
LIC-01133,Município 88,2023,Aquisição de equipamentos,230342.9,Pregão,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",3,Em execução
LIC-01134,Município 88,2023,Pavimentação de via,228933.61,Tomada de Preços,Empresa Sol Soluções,17.380.177/0001-62,Sócio 16,"Rua 16, 150",6,Concluído
LIC-01135,Município 88,2023,Material didático,306114.19,Tomada de Preços,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",5,Em execução
LIC-01136,Município 88,2023,Transporte escolar,97161.5,Concorrência,Empresa Norte Serviços,31.474.506/0001-24,Sócio 5,"Rua 5, 60",3,Atrasado
LIC-01137,Município 88,2023,Fornecimento de merenda,236814.39,Concorrência,Empresa Norte Serviços,33.395.898/0001-70,Sócio 1,"Rua 1, 398",4,Concluído
LIC-01138,Município 88,2020,Material didático,224951.82,Concorrência,Empresa Sul Engenharia,38.805.699/0001-80,Sócio 19,"Rua 19, 162",3,Concluído
LIC-01139,Município 88,2022,Material didático,101697.49,Tomada de Preços,Empresa Norte Construções,61.392.872/0001-32,Sócio 26,"Rua 26, 482",5,Concluído
LIC-01140,Município 88,2022,Serviços de consultoria,209419.78,Pregão,Empresa Terra Engenharia,86.621.839/0001-57,Sócio 24,"Rua 24, 490",5,Atrasado
LIC-01141,Município 88,2020,Pavimentação de via,171687.43,Dispensa,Empresa Rio Engenharia,87.978.140/0001-71,Sócio 29,"Rua 29, 12",7,Atrasado
LIC-01142,Município 88,2023,Reforma de UBS,255591.65,Pregão,Empresa Mar Engenharia,25.845.894/0001-41,Sócio 15,"Rua 15, 142",8,Concluído
LIC-01143,Município 88,2021,Manutenção predial,283505.54,Tomada de Preços,Empresa Mar Soluções,51.161.687/0001-86,Sócio 4,"Rua 4, 419",7,Em execução
LIC-01144,Município 88,2021,Serviços de consultoria,144445.04,Dispensa,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",7,Atrasado
LIC-01145,Município 88,2023,Transporte escolar,363859.53,Pregão,Empresa Sul Engenharia,43.818.836/0001-99,Sócio 21,"Rua 21, 54",4,Atrasado
LIC-01146,Município 88,2021,Fornecimento de merenda,278429.57,Pregão,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",7,Concluído
LIC-01147,Município 88,2021,Reforma de UBS,159942.78,Tomada de Preços,Empresa Rio Engenharia,52.643.772/0001-62,Sócio 11,"Rua 11, 103",4,Atrasado
LIC-01148,Município 89,2021,Reforma de UBS,242544.41,Dispensa,Empresa Norte Serviços,50.268.263/0001-52,Sócio 18,"Rua 18, 336",7,Concluído
LIC-01149,Município 89,2021,Material didático,195108.68,Concorrência,Empresa Rio Engenharia,52.643.772/0001-62,Sócio 11,"Rua 11, 103",3,Concluído
LIC-01150,Município 89,2023,Construção de escola,67341.87,Tomada de Preços,Empresa Norte Construções,12.819.190/0001-68,Sócio 14,"Rua 14, 191",3,Atrasado
LIC-01151,Município 89,2021,Fornecimento de merenda,236555.61,Pregão,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",7,Em execução
LIC-01152,Município 89,2023,Fornecimento de merenda,258575.7,Concorrência,Empresa Norte Engenharia,85.387.857/0001-56,Sócio 3,"Rua 3, 415",5,Concluído
LIC-01153,Município 89,2021,Manutenção predial,105221.11,Tomada de Preços,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",6,Concluído
LIC-01154,Município 89,2022,Limpeza urbana,200862.12,Tomada de Preços,Empresa Mar Engenharia,38.329.904/0001-66,Sócio 20,"Rua 20, 228",5,Atrasado
LIC-01155,Município 90,2023,Serviços de consultoria,30000.0,Dispensa,Empresa Sul Serviços,92.344.537/0001-98,Sócio 12,"Rua 12, 9",7,Concluído
LIC-01156,Município 90,2021,Aquisição de equipamentos,257258.4,Tomada de Preços,Empresa Sul Engenharia,43.818.836/0001-99,Sócio 21,"Rua 21, 54",6,Atrasado
LIC-01157,Município 90,2021,Reforma de UBS,140629.95,Tomada de Preços,Empresa Sul Engenharia,38.805.699/0001-80,Sócio 19,"Rua 19, 162",7,Concluído
LIC-01158,Município 90,2021,Manutenção predial,182119.14,Dispensa,Empresa Sul Serviços,37.806.450/0001-81,Sócio 25,"Rua 25, 298",4,Concluído
LIC-01159,Município 90,2020,Material didático,217411.92,Concorrência,Empresa Norte Construções,12.819.190/0001-68,Sócio 14,"Rua 14, 191",3,Concluído
LIC-01160,Município 90,2021,Aquisição de equipamentos,201896.85,Dispensa,Empresa Norte Serviços,50.268.263/0001-52,Sócio 18,"Rua 18, 336",8,Atrasado
LIC-01161,Município 90,2022,Limpeza urbana,215405.04,Pregão,Empresa Norte Serviços,50.167.643/0001-35,Sócio 13,"Rua 13, 490",5,Concluído
LIC-01162,Município 90,2022,Limpeza urbana,253722.0,Tomada de Preços,Empresa Rio Engenharia,52.643.772/0001-62,Sócio 11,"Rua 11, 103",8,Concluído
LIC-01163,Município 90,2021,Manutenção predial,30000.0,Concorrência,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",3,Atrasado
LIC-01164,Município 90,2021,Aquisição de equipamentos,231749.79,Pregão,Empresa Rio Engenharia,87.978.140/0001-71,Sócio 29,"Rua 29, 12",6,Concluído
LIC-01165,Município 90,2023,Transporte escolar,264072.6,Pregão,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",4,Concluído
LIC-01166,Município 91,2022,Fornecimento de merenda,344639.1,Dispensa,Empresa Norte Serviços,50.268.263/0001-52,Sócio 18,"Rua 18, 336",6,Concluído
LIC-01167,Município 91,2023,Serviços de consultoria,159766.19,Pregão,Empresa Norte Construções,44.878.285/0001-76,Sócio 23,"Rua 23, 459",4,Atrasado
LIC-01168,Município 91,2022,Serviços de consultoria,309114.54,Dispensa,Empresa Sol Soluções,23.119.597/0001-77,Sócio 2,"Rua 2, 67",6,Em execução
LIC-01169,Município 91,2023,Fornecimento de merenda,265635.82,Tomada de Preços,Empresa Sul Serviços,37.806.450/0001-81,Sócio 25,"Rua 25, 298",8,Atrasado
LIC-01170,Município 91,2022,Limpeza urbana,272888.77,Dispensa,Empresa Mar Engenharia,38.329.904/0001-66,Sócio 20,"Rua 20, 228",6,Concluído
LIC-01171,Município 91,2021,Limpeza urbana,30000.0,Concorrência,Empresa Terra Serviços,30.650.774/0001-26,Sócio 22,"Rua 22, 417",3,Em execução
LIC-01172,Município 91,2022,Serviços de consultoria,164177.33,Tomada de Preços,Empresa Norte Serviços,24.190.275/0001-25,Sócio 9,"Rua 9, 62",8,Concluído
LIC-01173,Município 91,2020,Construção de escola,451497.25,Pregão,Empresa Norte Serviços,50.268.263/0001-52,Sócio 18,"Rua 18, 336",4,Concluído
LIC-01174,Município 91,2020,Aquisição de equipamentos,317702.67,Dispensa,Empresa Mar Engenharia,38.329.904/0001-66,Sócio 20,"Rua 20, 228",7,Concluído
LIC-01175,Município 91,2023,Reforma de UBS,145538.77,Pregão,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",6,Concluído
LIC-01176,Município 91,2022,Pavimentação de via,114412.85,Pregão,Empresa Rio Engenharia,52.643.772/0001-62,Sócio 11,"Rua 11, 103",7,Em execução
LIC-01177,Município 91,2020,Aquisição de equipamentos,114050.01,Tomada de Preços,Empresa Rio Construções,25.670.464/0001-44,Sócio 30,"Rua 30, 412",5,Em execução
LIC-01178,Município 92,2023,Fornecimento de merenda,268774.87,Concorrência,Empresa Sul Serviços,92.344.537/0001-98,Sócio 12,"Rua 12, 9",6,Concluído
LIC-01179,Município 92,2022,Material didático,246795.87,Concorrência,Empresa Sol Soluções,17.380.177/0001-62,Sócio 16,"Rua 16, 150",5,Concluído
LIC-01180,Município 92,2021,Pavimentação de via,275774.85,Pregão,Empresa Mar Engenharia,25.845.894/0001-41,Sócio 15,"Rua 15, 142",6,Em execução
LIC-01181,Município 92,2022,Reforma de UBS,315263.08,Concorrência,Empresa Mar Engenharia,25.845.894/0001-41,Sócio 15,"Rua 15, 142",5,Concluído
LIC-01182,Município 92,2021,Reforma de UBS,238010.17,Concorrência,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",7,Concluído
LIC-01183,Município 92,2020,Pavimentação de via,242634.38,Tomada de Preços,Empresa Norte Construções,61.392.872/0001-32,Sócio 26,"Rua 26, 482",3,Concluído
LIC-01184,Município 92,2023,Pavimentação de via,166622.74,Tomada de Preços,Empresa Norte Engenharia,85.387.857/0001-56,Sócio 3,"Rua 3, 415",3,Em execução
LIC-01185,Município 92,2023,Serviços de consultoria,248444.88,Pregão,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",5,Em execução
LIC-01186,Município 92,2022,Aquisição de equipamentos,232913.73,Pregão,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",6,Concluído
LIC-01187,Município 92,2023,Serviços de consultoria,76361.98,Pregão,Empresa Norte Serviços,50.167.643/0001-35,Sócio 13,"Rua 13, 490",4,Concluído
LIC-01188,Município 92,2021,Reforma de UBS,333984.24,Dispensa,Empresa Mar Soluções,51.161.687/0001-86,Sócio 4,"Rua 4, 419",6,Em execução
LIC-01189,Município 92,2020,Construção de escola,229116.06,Tomada de Preços,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",4,Concluído
LIC-01190,Município 92,2020,Transporte escolar,165621.41,Concorrência,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",5,Atrasado
LIC-01191,Município 93,2021,Transporte escolar,184048.1,Tomada de Preços,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",5,Concluído
LIC-01192,Município 93,2023,Construção de escola,190960.64,Pregão,Empresa Rio Engenharia,66.950.878/0001-85,Sócio 17,"Rua 17, 122",3,Em execução
LIC-01193,Município 93,2020,Serviços de consultoria,321926.18,Tomada de Preços,Empresa Rio Construções,25.670.464/0001-44,Sócio 30,"Rua 30, 412",3,Em execução
LIC-01194,Município 93,2020,Serviços de consultoria,165131.82,Tomada de Preços,Empresa Norte Construções,12.819.190/0001-68,Sócio 14,"Rua 14, 191",7,Concluído
LIC-01195,Município 93,2022,Manutenção predial,359924.45,Concorrência,Empresa Norte Serviços,24.190.275/0001-25,Sócio 9,"Rua 9, 62",5,Atrasado
LIC-01196,Município 93,2023,Transporte escolar,180202.75,Dispensa,Empresa Norte Serviços,50.268.263/0001-52,Sócio 18,"Rua 18, 336",6,Concluído
LIC-01197,Município 93,2022,Serviços de consultoria,325080.88,Pregão,Empresa Norte Serviços,24.190.275/0001-25,Sócio 9,"Rua 9, 62",5,Atrasado
LIC-01198,Município 93,2020,Reforma de UBS,117578.77,Dispensa,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",4,Concluído
LIC-01199,Município 93,2021,Manutenção predial,176970.91,Concorrência,Empresa Sol Soluções,23.119.597/0001-77,Sócio 2,"Rua 2, 67",7,Concluído
LIC-01200,Município 94,2021,Limpeza urbana,201168.6,Tomada de Preços,Empresa Norte Serviços,33.395.898/0001-70,Sócio 1,"Rua 1, 398",4,Concluído
LIC-01201,Município 94,2023,Material didático,69743.19,Tomada de Preços,Empresa Norte Construções,44.878.285/0001-76,Sócio 23,"Rua 23, 459",6,Atrasado
LIC-01202,Município 94,2021,Transporte escolar,237972.94,Concorrência,Empresa Norte Serviços,50.268.263/0001-52,Sócio 18,"Rua 18, 336",7,Atrasado
LIC-01203,Município 94,2021,Construção de escola,235313.87,Pregão,Empresa Norte Serviços,31.474.506/0001-24,Sócio 5,"Rua 5, 60",8,Concluído
LIC-01204,Município 94,2021,Fornecimento de merenda,91746.52,Concorrência,Empresa Sol Soluções,23.119.597/0001-77,Sócio 2,"Rua 2, 67",4,Em execução
LIC-01205,Município 94,2021,Manutenção predial,127705.72,Dispensa,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",7,Atrasado
LIC-01206,Município 94,2021,Serviços de consultoria,204609.43,Pregão,Empresa Norte Serviços,33.395.898/0001-70,Sócio 1,"Rua 1, 398",6,Em execução
LIC-01207,Município 94,2022,Fornecimento de merenda,242095.02,Concorrência,Empresa Norte Serviços,33.395.898/0001-70,Sócio 1,"Rua 1, 398",6,Concluído
LIC-01208,Município 94,2023,Transporte escolar,89922.32,Dispensa,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",7,Atrasado
LIC-01209,Município 94,2022,Pavimentação de via,200692.17,Tomada de Preços,Empresa Sul Serviços,92.344.537/0001-98,Sócio 12,"Rua 12, 9",6,Em execução
LIC-01210,Município 94,2022,Serviços de consultoria,309990.32,Dispensa,Empresa Sol Soluções,17.380.177/0001-62,Sócio 16,"Rua 16, 150",3,Concluído
LIC-01211,Município 94,2023,Limpeza urbana,267981.56,Concorrência,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",3,Em execução
LIC-01212,Município 94,2020,Construção de escola,91283.84,Dispensa,Empresa Norte Serviços,50.167.643/0001-35,Sócio 13,"Rua 13, 490",4,Atrasado
LIC-01213,Município 94,2021,Serviços de consultoria,239596.01,Concorrência,Empresa Mar Engenharia,38.329.904/0001-66,Sócio 20,"Rua 20, 228",8,Em execução
LIC-01214,Município 94,2021,Construção de escola,337796.35,Pregão,Empresa Norte Construções,44.878.285/0001-76,Sócio 23,"Rua 23, 459",5,Concluído
LIC-01215,Município 95,2023,Aquisição de equipamentos,247279.05,Pregão,Empresa Rio Serviços,88.129.401/0001-61,Sócio 10,"Rua 10, 138",8,Atrasado
LIC-01216,Município 95,2020,Pavimentação de via,248779.94,Concorrência,Empresa Norte Serviços,50.167.643/0001-35,Sócio 13,"Rua 13, 490",4,Concluído
LIC-01217,Município 95,2020,Transporte escolar,272317.05,Dispensa,Empresa Mar Engenharia,38.329.904/0001-66,Sócio 20,"Rua 20, 228",5,Concluído
LIC-01218,Município 95,2021,Material didático,374878.95,Concorrência,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",7,Concluído
LIC-01219,Município 95,2023,Fornecimento de merenda,142585.74,Pregão,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",5,Em execução
LIC-01220,Município 95,2021,Transporte escolar,199439.45,Pregão,Empresa Mar Engenharia,38.329.904/0001-66,Sócio 20,"Rua 20, 228",6,Atrasado
LIC-01221,Município 95,2020,Reforma de UBS,30000.0,Dispensa,Empresa Norte Serviços,24.190.275/0001-25,Sócio 9,"Rua 9, 62",3,Em execução
LIC-01222,Município 95,2022,Reforma de UBS,286719.46,Concorrência,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",7,Em execução
LIC-01223,Município 95,2023,Transporte escolar,245928.34,Tomada de Preços,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",4,Atrasado
LIC-01224,Município 95,2020,Material didático,163679.8,Tomada de Preços,Empresa Rio Engenharia,66.950.878/0001-85,Sócio 17,"Rua 17, 122",5,Concluído
LIC-01225,Município 95,2021,Serviços de consultoria,254520.34,Dispensa,Empresa Rio Serviços,88.129.401/0001-61,Sócio 10,"Rua 10, 138",6,Em execução
LIC-01226,Município 95,2023,Manutenção predial,140413.32,Tomada de Preços,Empresa Norte Engenharia,85.387.857/0001-56,Sócio 3,"Rua 3, 415",7,Concluído
LIC-01227,Município 95,2020,Pavimentação de via,177237.06,Tomada de Preços,Empresa Norte Engenharia,85.387.857/0001-56,Sócio 3,"Rua 3, 415",6,Concluído
LIC-01228,Município 95,2020,Material didático,52339.59,Tomada de Preços,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",5,Concluído
LIC-01229,Município 95,2023,Construção de escola,234025.94,Concorrência,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",8,Concluído
LIC-01230,Município 95,2023,Construção de escola,197372.48,Tomada de Preços,Empresa Sul Serviços,92.344.537/0001-98,Sócio 12,"Rua 12, 9",4,Concluído
LIC-01231,Município 96,2023,Reforma de UBS,190374.27,Concorrência,Empresa Norte Construções,12.819.190/0001-68,Sócio 14,"Rua 14, 191",7,Concluído
LIC-01232,Município 96,2021,Transporte escolar,174559.79,Tomada de Preços,Empresa Norte Construções,44.878.285/0001-76,Sócio 23,"Rua 23, 459",6,Concluído
LIC-01233,Município 96,2022,Pavimentação de via,167596.57,Dispensa,Empresa Norte Serviços,24.190.275/0001-25,Sócio 9,"Rua 9, 62",3,Atrasado
LIC-01234,Município 96,2022,Aquisição de equipamentos,225581.74,Concorrência,Empresa Sul Engenharia,43.818.836/0001-99,Sócio 21,"Rua 21, 54",5,Concluído
LIC-01235,Município 96,2021,Transporte escolar,197942.27,Dispensa,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",8,Concluído
LIC-01236,Município 96,2021,Manutenção predial,81470.75,Tomada de Preços,Empresa Sul Engenharia,43.818.836/0001-99,Sócio 21,"Rua 21, 54",5,Concluído
LIC-01237,Município 96,2020,Limpeza urbana,184591.7,Tomada de Preços,Empresa Norte Construções,12.819.190/0001-68,Sócio 14,"Rua 14, 191",4,Atrasado
LIC-01238,Município 96,2021,Construção de escola,196497.07,Dispensa,Empresa Rio Serviços,88.129.401/0001-61,Sócio 10,"Rua 10, 138",5,Em execução
LIC-01239,Município 96,2023,Reforma de UBS,166239.51,Dispensa,Empresa Norte Construções,61.392.872/0001-32,Sócio 26,"Rua 26, 482",4,Atrasado
LIC-01240,Município 96,2021,Pavimentação de via,210980.49,Concorrência,Empresa Norte Serviços,31.474.506/0001-24,Sócio 5,"Rua 5, 60",3,Em execução
LIC-01241,Município 96,2023,Serviços de consultoria,30000.0,Tomada de Preços,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",3,Atrasado
LIC-01242,Município 96,2020,Material didático,183334.34,Dispensa,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",8,Em execução
LIC-01243,Município 96,2021,Serviços de consultoria,250654.36,Pregão,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",3,Em execução
LIC-01244,Município 96,2021,Aquisição de equipamentos,272366.09,Pregão,Empresa Rio Engenharia,66.950.878/0001-85,Sócio 17,"Rua 17, 122",6,Concluído
LIC-01245,Município 96,2021,Construção de escola,326047.34,Pregão,Empresa Norte Engenharia,85.387.857/0001-56,Sócio 3,"Rua 3, 415",5,Concluído
LIC-01246,Município 96,2021,Transporte escolar,111723.35,Pregão,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",7,Em execução
LIC-01247,Município 96,2023,Serviços de consultoria,234603.55,Concorrência,Empresa Terra Serviços,30.650.774/0001-26,Sócio 22,"Rua 22, 417",6,Concluído
LIC-01248,Município 97,2022,Material didático,95173.76,Pregão,Empresa Mar Engenharia,25.845.894/0001-41,Sócio 15,"Rua 15, 142",6,Em execução
LIC-01249,Município 97,2021,Aquisição de equipamentos,30000.0,Tomada de Preços,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",7,Concluído
LIC-01250,Município 97,2020,Serviços de consultoria,240093.52,Concorrência,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",5,Atrasado
LIC-01251,Município 97,2020,Fornecimento de merenda,311804.69,Dispensa,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",8,Em execução
LIC-01252,Município 97,2023,Fornecimento de merenda,266790.99,Pregão,Empresa Norte Serviços,50.268.263/0001-52,Sócio 18,"Rua 18, 336",6,Concluído
LIC-01253,Município 97,2020,Transporte escolar,280113.75,Dispensa,Empresa Rio Engenharia,52.643.772/0001-62,Sócio 11,"Rua 11, 103",5,Em execução
LIC-01254,Município 98,2020,Material didático,268451.01,Tomada de Preços,Empresa Rio Construções,25.670.464/0001-44,Sócio 30,"Rua 30, 412",7,Em execução
LIC-01255,Município 98,2021,Pavimentação de via,174619.51,Tomada de Preços,Empresa Sol Soluções,23.119.597/0001-77,Sócio 2,"Rua 2, 67",3,Em execução
LIC-01256,Município 98,2021,Limpeza urbana,148098.84,Dispensa,Empresa Norte Serviços,50.167.643/0001-35,Sócio 13,"Rua 13, 490",3,Concluído
LIC-01257,Município 98,2020,Fornecimento de merenda,101410.57,Tomada de Preços,Empresa Sul Serviços,92.344.537/0001-98,Sócio 12,"Rua 12, 9",8,Concluído
LIC-01258,Município 98,2020,Pavimentação de via,213652.12,Pregão,Empresa Sol Soluções,17.380.177/0001-62,Sócio 16,"Rua 16, 150",5,Em execução
LIC-01259,Município 98,2020,Aquisição de equipamentos,30000.0,Dispensa,Empresa Mar Soluções,51.161.687/0001-86,Sócio 4,"Rua 4, 419",7,Concluído
LIC-01260,Município 98,2020,Reforma de UBS,319633.92,Dispensa,Empresa Sul Engenharia,38.805.699/0001-80,Sócio 19,"Rua 19, 162",6,Concluído
LIC-01261,Município 98,2021,Manutenção predial,239706.48,Tomada de Preços,Empresa Norte Serviços,33.395.898/0001-70,Sócio 1,"Rua 1, 398",7,Em execução
LIC-01262,Município 98,2021,Transporte escolar,74331.03,Dispensa,Empresa Mar Soluções,51.161.687/0001-86,Sócio 4,"Rua 4, 419",4,Concluído
LIC-01263,Município 98,2022,Transporte escolar,273976.11,Concorrência,Empresa Mar Engenharia,25.845.894/0001-41,Sócio 15,"Rua 15, 142",6,Concluído
LIC-01264,Município 98,2022,Fornecimento de merenda,277036.75,Pregão,Empresa Sol Soluções,23.119.597/0001-77,Sócio 2,"Rua 2, 67",7,Concluído
LIC-01265,Município 98,2020,Transporte escolar,162187.23,Pregão,Empresa Norte Serviços,50.167.643/0001-35,Sócio 13,"Rua 13, 490",5,Concluído
LIC-01266,Município 98,2023,Transporte escolar,83901.6,Dispensa,Empresa Norte Construções,61.392.872/0001-32,Sócio 26,"Rua 26, 482",5,Concluído
LIC-01267,Município 98,2022,Transporte escolar,324259.19,Tomada de Preços,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",3,Concluído
LIC-01268,Município 98,2020,Serviços de consultoria,61178.55,Dispensa,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",3,Concluído
LIC-01269,Município 98,2022,Serviços de consultoria,175365.64,Dispensa,Empresa Rio Engenharia,52.643.772/0001-62,Sócio 11,"Rua 11, 103",4,Atrasado
LIC-01270,Município 99,2021,Transporte escolar,124715.55,Dispensa,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",4,Concluído
LIC-01271,Município 99,2020,Limpeza urbana,177645.27,Tomada de Preços,Empresa Norte Serviços,31.474.506/0001-24,Sócio 5,"Rua 5, 60",8,Concluído
LIC-01272,Município 99,2022,Material didático,53108.61,Dispensa,Empresa Sul Engenharia,43.818.836/0001-99,Sócio 21,"Rua 21, 54",3,Atrasado
LIC-01273,Município 99,2023,Fornecimento de merenda,247712.64,Concorrência,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",7,Concluído
LIC-01274,Município 99,2021,Construção de escola,145499.84,Dispensa,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",8,Concluído
LIC-01275,Município 99,2020,Reforma de UBS,127025.92,Pregão,Empresa Terra Engenharia,86.621.839/0001-57,Sócio 24,"Rua 24, 490",5,Concluído
LIC-01276,Município 99,2022,Manutenção predial,239762.72,Dispensa,Empresa Sul Serviços,37.806.450/0001-81,Sócio 25,"Rua 25, 298",7,Concluído
LIC-01277,Município 99,2022,Fornecimento de merenda,269534.26,Dispensa,Empresa Norte Serviços,33.395.898/0001-70,Sócio 1,"Rua 1, 398",4,Atrasado
LIC-01278,Município 99,2020,Pavimentação de via,187856.48,Dispensa,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",5,Concluído
LIC-01279,Município 99,2022,Material didático,30000.0,Dispensa,Empresa Rio Construções,25.670.464/0001-44,Sócio 30,"Rua 30, 412",6,Concluído
LIC-01280,Município 99,2021,Serviços de consultoria,92094.54,Tomada de Preços,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",7,Concluído
LIC-01281,Município 100,2023,Fornecimento de merenda,214398.59,Concorrência,Empresa Sul Serviços,92.344.537/0001-98,Sócio 12,"Rua 12, 9",8,Concluído
LIC-01282,Município 100,2020,Reforma de UBS,33436.84,Dispensa,Empresa Norte Construções,44.878.285/0001-76,Sócio 23,"Rua 23, 459",4,Concluído
